firstname,alt_firstname,lastname,teams,statut,status,webpage,HAL,start_date,end_date,member,photo,perm,fid,researcheridId_s,idrefId_s,orcidId_s,viafId_s,isniId_s,google scholarId_s,arxivId_s
Marie-Dominique,,Van Damme,MEIG,Chargée d'études et de recherche,Research engineer,/mdvandamme,marie-dominique-vandamme,2012-05,,true,/mdvandamme/img/mdvandamme.jpg,true,133,,,https://orcid.org/0000-0002-0007-5972,,,,
Emilie,,Vautier,STRUDEL,Doctorante,PhD student,,,2024,,true,,true,134,,,,,,,
Armand,,Verstraete,STRUDEL,Ingénieur,Research engineer,,,2024-07-01,,true,,false,135,,,,,,,
Charles,,Villard,ACTE,Doctorant,PhD student,/charles-villard,,2020-11-20,,true,,false,136,,,,,,,
Elliot,,Vincent,STRUDEL,Chercheur,Researcher,https://imagine.enpc.fr/~elliot.vincent/,,2024-10-01,,true,https://elliotvincent.github.io/assets/images/profile.png,true,137,,,,,,,
Laura,,Wenclik,GEOVIS,Ingénieure,Engineer,/laura-wenclik,laura-wenclik,2022-09-01,,true,/laura-wenclik/img/laura_wenclik.JPEG,true,138,,,https://orcid.org/0009-0003-5109-4289,,,,
Laura,,Willot,ACTE,Doctorante,PhD student,,laura-willot,,,true,,false,139,,,https://orcid.org/0009-0005-4482-6693,,,,
Teng,,Wu,ACTE,Chercheur,Researcher,https://whuwuteng.github.io,,2023-11-11,,true,https://whuwuteng.github.io/images/tengwu.png,true,140,,,,,,,
Chahine-Nicolas,,Zede,ACTE,Doctorant,PhD student,/Chahine-Nicolas-Zede,Chahine-Nicolas,2023-01-03,2026-01-02,true,,false,141,,,,,,,
Lulin,,Zhang,ACTE,Post-doc,Post-doc,/Lulin-Zhang,,,,false,,false,142,,,,,,,
Yilin,,Zhou,ACTE,Doctorante,PhD student,,,,2020-01-01,false,,false,143,,,,,,,
Mehdi,Mathieu,Zrhal,MEIG,Doctorant,PhD student,/Mehdi-Zrhal,,2019-09-01,2023-01-31,false,/Mehdi-Zrhal/img/Zrhal.jpg,false,144,,,,,,,
